full_text,clean_text,tokens,normalized_tokens,filtered_tokens,stemmed_tokens,final_text,sentiment
The air quality is terrible,the air quality is terrible,"['the', 'air', 'quality', 'is', 'terrible']","['the', 'air', 'quality', 'is', 'terrible']","['air', 'quality', 'terrible']","['air', 'quality', 'terrible']",air quality terrible,negative
Breathe Easy with Clean Air Ducts! Air Clean Environmental offers complete air duct cleaning to improve indoor air quality reduce allergens and save you money on energy bills. Clean air ducts mean a healthier home and more efficient energy use. ️ Want to learn more about o... https://t.co/icW6XzooJn,breathe easy with clean air ducts air clean environmental offers complete air duct cleaning to improve indoor air quality reduce allergens and save you money on energy bills clean air ducts mean a healthier home and more efficient energy use want to learn more about o,"['breathe', 'easy', 'with', 'clean', 'air', 'ducts', 'air', 'clean', 'environmental', 'offers', 'complete', 'air', 'duct', 'cleaning', 'to', 'improve', 'indoor', 'air', 'quality', 'reduce', 'allergens', 'and', 'save', 'you', 'money', 'on', 'energy', 'bills', 'clean', 'air', 'ducts', 'mean', 'a', 'healthier', 'home', 'and', 'more', 'efficient', 'energy', 'use', 'want', 'to', 'learn', 'more', 'about', 'o']","['breathe', 'easy', 'with', 'clean', 'air', 'ducts', 'air', 'clean', 'environmental', 'offers', 'complete', 'air', 'duct', 'cleaning', 'to', 'improve', 'indoor', 'air', 'quality', 'reduce', 'allergens', 'and', 'save', 'you', 'money', 'on', 'energy', 'bills', 'clean', 'air', 'ducts', 'mean', 'a', 'healthier', 'home', 'and', 'more', 'efficient', 'energy', 'use', 'want', 'to', 'learn', 'more', 'about', 'o']","['breathe', 'easy', 'clean', 'air', 'ducts', 'air', 'clean', 'environmental', 'offers', 'complete', 'air', 'duct', 'cleaning', 'improve', 'indoor', 'air', 'quality', 'reduce', 'allergens', 'save', 'money', 'energy', 'bills', 'clean', 'air', 'ducts', 'mean', 'healthier', 'home', 'efficient', 'energy', 'use', 'want', 'learn']","['breathe', 'easy', 'clean', 'air', 'ducts', 'air', 'clean', 'environmental', 'offers', 'complete', 'air', 'duct', 'cleaning', 'improve', 'indoor', 'air', 'quality', 'reduce', 'allergens', 'save', 'money', 'energy', 'bills', 'clean', 'air', 'ducts', 'mean', 'healthier', 'home', 'efficient', 'energy', 'use', 'want', 'learn']",breathe easy clean air ducts air clean environmental offers complete air duct cleaning improve indoor air quality reduce allergens save money energy bills clean air ducts mean healthier home efficient energy use want learn,positive
The Ventura County AQ forecast for Wednesday July 10 2024 is MODERATE for all regions. Wednesday is a NO BURN DAY in all regions. For air quality updates. https://t.co/2hYew6at7z Facebook: Ventura County Air Pollution Control District. https://t.co/cVkHDoz9Al,the ventura county aq forecast for wednesday july is moderate for all regions wednesday is a no burn day in all regions for air quality updates facebook ventura county air pollution control district,"['the', 'ventura', 'county', 'aq', 'forecast', 'for', 'wednesday', 'july', 'is', 'moderate', 'for', 'all', 'regions', 'wednesday', 'is', 'a', 'no', 'burn', 'day', 'in', 'all', 'regions', 'for', 'air', 'quality', 'updates', 'facebook', 'ventura', 'county', 'air', 'pollution', 'control', 'district']","['the', 'ventura', 'county', 'aq', 'forecast', 'for', 'wednesday', 'july', 'is', 'moderate', 'for', 'all', 'regions', 'wednesday', 'is', 'a', 'no', 'burn', 'day', 'in', 'all', 'regions', 'for', 'air', 'quality', 'updates', 'facebook', 'ventura', 'county', 'air', 'pollution', 'control', 'district']","['ventura', 'county', 'aq', 'forecast', 'wednesday', 'july', 'moderate', 'regions', 'wednesday', 'burn', 'regions', 'air', 'quality', 'updates', 'facebook', 'ventura', 'county', 'air', 'pollution', 'control', 'district']","['ventura', 'county', 'aq', 'forecast', 'wednesday', 'july', 'moderate', 'regions', 'wednesday', 'burn', 'regions', 'air', 'quality', 'updates', 'facebook', 'ventura', 'county', 'air', 'pollution', 'control', 'district']",ventura county aq forecast wednesday july moderate regions wednesday burn regions air quality updates facebook ventura county air pollution control district,neutral
@ProudElephantUS She is one of the grossest humans to ever walk the face of this planet! She deserves the same air quality as her integrity!!!,she is one of the grossest humans to ever walk the face of this planet she deserves the same air quality as her integrity,"['she', 'is', 'one', 'of', 'the', 'grossest', 'humans', 'to', 'ever', 'walk', 'the', 'face', 'of', 'this', 'planet', 'she', 'deserves', 'the', 'same', 'air', 'quality', 'as', 'her', 'integrity']","['she', 'is', 'one', 'of', 'the', 'grossest', 'humans', 'to', 'ever', 'walk', 'the', 'face', 'of', 'this', 'planet', 'she', 'deserves', 'the', 'same', 'air', 'quality', 'as', 'her', 'integrity']","['grossest', 'humans', 'ever', 'walk', 'face', 'planet', 'deserves', 'air', 'quality', 'integrity']","['grossest', 'humans', 'ever', 'walk', 'face', 'planet', 'deserves', 'air', 'quality', 'integrity']",grossest humans ever walk face planet deserves air quality integrity,negative
@morganstephensa How we end covid: By relieving stress on Coral with complex sound affecting Climate Change and Air Quality on a global scale. #endcovid,how we end covid by relieving stress on coral with complex sound affecting climate change and air quality on a global scale,"['how', 'we', 'end', 'covid', 'by', 'relieving', 'stress', 'on', 'coral', 'with', 'complex', 'sound', 'affecting', 'climate', 'change', 'and', 'air', 'quality', 'on', 'a', 'global', 'scale']","['how', 'we', 'end', 'covid', 'by', 'relieving', 'stress', 'on', 'coral', 'with', 'complex', 'sound', 'affecting', 'climate', 'change', 'and', 'air', 'quality', 'on', 'a', 'global', 'scale']","['end', 'covid', 'relieving', 'stress', 'coral', 'complex', 'sound', 'affecting', 'climate', 'change', 'air', 'quality', 'global', 'scale']","['end', 'covid', 'relieving', 'stress', 'coral', 'complex', 'sound', 'affecting', 'climate', 'change', 'air', 'quality', 'global', 'scale']",end covid relieving stress coral complex sound affecting climate change air quality global scale,negative
@onthemove555 I like Pattaya good air quality by the sea fantastic street food shopping has everything we need clinics/hospitals are good schools are okay and inexpensive. Never been interested in bars or nightlife. Nice peaceful life most of the time ,i like pattaya good air quality by the sea fantastic street food shopping has everything we need clinicshospitals are good schools are okay and inexpensive never been interested in bars or nightlife nice peaceful life most of the time,"['i', 'like', 'pattaya', 'good', 'air', 'quality', 'by', 'the', 'sea', 'fantastic', 'street', 'food', 'shopping', 'has', 'everything', 'we', 'need', 'clinicshospitals', 'are', 'good', 'schools', 'are', 'okay', 'and', 'inexpensive', 'never', 'been', 'interested', 'in', 'bars', 'or', 'nightlife', 'nice', 'peaceful', 'life', 'most', 'of', 'the', 'time']","['i', 'like', 'pattaya', 'good', 'air', 'quality', 'by', 'the', 'sea', 'fantastic', 'street', 'food', 'shopping', 'has', 'everything', 'we', 'need', 'clinicshospitals', 'are', 'good', 'schools', 'are', 'okay', 'and', 'inexpensive', 'never', 'been', 'interested', 'in', 'bars', 'or', 'nightlife', 'nice', 'peaceful', 'life', 'most', 'of', 'the', 'time']","['like', 'pattaya', 'good', 'air', 'quality', 'sea', 'fantastic', 'street', 'food', 'shopping', 'everything', 'clinicshospitals', 'good', 'schools', 'okay', 'inexpensive', 'never', 'interested', 'bars', 'nightlife', 'nice', 'peaceful', 'life']","['like', 'pattaya', 'good', 'air', 'quality', 'sea', 'fantastic', 'street', 'food', 'shopping', 'everything', 'clinicshospitals', 'good', 'schools', 'okay', 'inexpensive', 'never', 'interested', 'bars', 'nightlife', 'nice', 'peaceful', 'life']",like pattaya good air quality sea fantastic street food shopping everything clinicshospitals good schools okay inexpensive never interested bars nightlife nice peaceful life,positive
Smoke from U.S. wildfire and smog creating air quality risk in southern B.C. https://t.co/PUc33SDr6S via @NorthShoreNews,smoke from us wildfire and smog creating air quality risk in southern bc via,"['smoke', 'from', 'us', 'wildfire', 'and', 'smog', 'creating', 'air', 'quality', 'risk', 'in', 'southern', 'bc', 'via']","['smoke', 'from', 'us', 'wildfire', 'and', 'smog', 'creating', 'air', 'quality', 'risk', 'in', 'southern', 'bc', 'via']","['smoke', 'wildfire', 'smog', 'creating', 'air', 'quality', 'risk', 'southern', 'bc', 'via']","['smoke', 'wildfire', 'smog', 'creating', 'air', 'quality', 'risk', 'southern', 'bc', 'via']",smoke wildfire smog creating air quality risk southern bc via,negative
High heat extends King County Regional Homelessness Authority response and WA issues its first air quality alert for 2024. https://t.co/ORETln7qM6,high heat extends king county regional homelessness authority response and wa issues its first air quality alert for,"['high', 'heat', 'extends', 'king', 'county', 'regional', 'homelessness', 'authority', 'response', 'and', 'wa', 'issues', 'its', 'first', 'air', 'quality', 'alert', 'for']","['high', 'heat', 'extends', 'king', 'county', 'regional', 'homelessness', 'authority', 'response', 'and', 'wa', 'issues', 'its', 'first', 'air', 'quality', 'alert', 'for']","['high', 'heat', 'extends', 'king', 'county', 'regional', 'homelessness', 'authority', 'response', 'wa', 'issues', 'air', 'quality', 'alert']","['high', 'heat', 'extends', 'king', 'county', 'regional', 'homelessness', 'authority', 'response', 'wa', 'issues', 'air', 'quality', 'alert']",high heat extends king county regional homelessness authority response wa issues air quality alert,positive
Smoke from U.S. wildfire and smog creating air quality risk in southern B.C. https://t.co/IY0ns34wm7 https://t.co/Zhkd1e3L3C,smoke from us wildfire and smog creating air quality risk in southern bc,"['smoke', 'from', 'us', 'wildfire', 'and', 'smog', 'creating', 'air', 'quality', 'risk', 'in', 'southern', 'bc']","['smoke', 'from', 'us', 'wildfire', 'and', 'smog', 'creating', 'air', 'quality', 'risk', 'in', 'southern', 'bc']","['smoke', 'wildfire', 'smog', 'creating', 'air', 'quality', 'risk', 'southern', 'bc']","['smoke', 'wildfire', 'smog', 'creating', 'air', 'quality', 'risk', 'southern', 'bc']",smoke wildfire smog creating air quality risk southern bc,negative
@ApricotTreeCaf1 @BonnieCrombie @MaritStiles Spent some time on public transit today this was air quality on #Miway I ll never ever stop masking while using public transit. Ignorance is no longer a bliss. https://t.co/hGJNlIXak2,spent some time on public transit today this was air quality on i ll never ever stop masking while using public transit ignorance is no longer a bliss,"['spent', 'some', 'time', 'on', 'public', 'transit', 'today', 'this', 'was', 'air', 'quality', 'on', 'i', 'll', 'never', 'ever', 'stop', 'masking', 'while', 'using', 'public', 'transit', 'ignorance', 'is', 'no', 'longer', 'a', 'bliss']","['spent', 'some', 'time', 'on', 'public', 'transit', 'today', 'this', 'was', 'air', 'quality', 'on', 'i', 'll', 'never', 'ever', 'stop', 'masking', 'while', 'using', 'public', 'transit', 'ignorance', 'is', 'no', 'longer', 'a', 'bliss']","['spent', 'public', 'transit', 'today', 'air', 'quality', 'never', 'ever', 'stop', 'masking', 'using', 'public', 'transit', 'ignorance', 'longer', 'bliss']","['spent', 'public', 'transit', 'today', 'air', 'quality', 'never', 'ever', 'stop', 'masking', 'using', 'public', 'transit', 'ignorance', 'longer', 'bliss']",spent public transit today air quality never ever stop masking using public transit ignorance longer bliss,positive
